Title, Link to the dataset, Description, Availability, Granularity/Penetration, Time stamp, Region, Collaborator
Poverty Prediction by Using Deep Learning on Satellite Images (Sabeer Saeed1 Ibrahim Turkoglu2), https://www.kaggle.com/datasets/sandeshbhat/satellite-images-to-predict-povertyafrica ,  summary, summary, summary, summary, summary, Vidhi Jain
Predicting Poverty Level from Satellite Imagery using Deep Neural Networks, https://docs.google.com/document/d/1emJ9mzVYlcPi8yK_xoNl8MjpwxLmC1DXmRcBOGc-C9Y/edit?usp=sharing, summary, summary, summary, summary, summary, Vidhi Jain
