Image_Name,Predicted_Class,Feature_22,Feature_56,Feature_69,Feature_102,Feature_401,Feature_750,Feature_781,Feature_823,Feature_878,Feature_922,Feature_940,Feature_1101,Feature_1107,Feature_1245,Feature_1335,Feature_1341,Feature_1410,Feature_1479,Feature_1596,Feature_1597,Feature_1599,Feature_1738,lum,Y_Label
Finalcdis/har_1.jpg,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.34315,0.0,0.0,0.0,12.343856,0.0,7.883591,0.0,42.33755398,-0.33546938775510204
Finalcdis/har_10.jpg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3775046,2.4724624,0.0,0.0,0.0,0.194623,0.0,0.0,0.0,2.7373326,0.0,36.79977,0.0,52.18369752,-0.497
Finalcdis/har_100.jpg,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8486631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.40266079,-0.328
Finalcdis/har_101.jpg,1,0.0,0.0,13.510662,0.0,22.988813,0.0,0.0,38.408966,0.0,0.0,0.0,14.870361,33.76962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.11232033,-0.141
Finalcdis/har_102.jpg,1,0.0,36.767334,0.0,6.2632036,5.512435,0.0,0.0,33.5506,0.0,0.0,0.0,6.361101,22.552942,0.0,1.3353502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.06458599,-0.635
Finalcdis/har_103.jpg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.679082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16179934,0.0,6.0992746,0.0,11.879033,0.0,54.12934215,-0.477
Finalcdis/har_104.jpg,8,0.0,0.0,16.002281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5006728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1429297,-0.71
Finalcdis/har_105.jpg,4,0.0,0.0,0.0,15.587491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.304369,0.0,49.939533,0.0,51.1747947,-0.563
Finalcdis/har_106.jpg,9,0.0,0.0,0.0,1.4729297,0.0,0.0,0.0,0.0,0.0,0.0,33.04469,0.0,0.0,0.0,0.0,0.0,0.33723402,0.0,0.0,0.0,25.550768,0.0,38.69313016,-0.538
Finalcdis/har_107.jpg,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.744295,0.0,0.0,0.0,85.086,0.0,56.272114,3.0208843,58.49670624,-0.882
